,city_state,name,m_type,state_abrev,state_full,latitude,longitude,county
266,"Kingston city, Georgia",Kingston,city,GA,Georgia,34.237039,-84.94410979999999,Bartow County
267,"Kite city, Georgia",Kite,city,GA,Georgia,32.6923836,-82.5145752,Johnson County
268,"LaFayette city, Georgia",LaFayette,city,GA,Georgia,34.7048022,-85.2818998,Walker County
269,"LaGrange city, Georgia",LaGrange,city,GA,Georgia,33.0362218,-85.0322444,Troup County
270,"Lake City city, Georgia",Lake City,city,GA,Georgia,33.6064989,-84.3352017,Clayton County
271,"Lakeland city, Georgia",Lakeland,city,GA,Georgia,31.0410373,-83.0751471,Lanier County
272,"Lake Park city, Georgia",Lake Park,city,GA,Georgia,30.6846637,-83.1828732,Lowndes County
273,"Lavonia city, Georgia",Lavonia,city,GA,Georgia,34.4359361,-83.10681799999999,Franklin County
274,"Lawrenceville city, Georgia",Lawrenceville,city,GA,Georgia,33.9562149,-83.9879625,Gwinnett County
275,"Leary city, Georgia",Leary,city,GA,Georgia,31.4857308,-84.5138017,Calhoun County
276,"Leesburg city, Georgia",Leesburg,city,GA,Georgia,31.7321156,-84.1707423,Lee County
277,"Lenox town, Georgia",Lenox,town,GA,Georgia,31.2715768,-83.4648845,Cook County
278,"Leslie city, Georgia",Leslie,city,GA,Georgia,31.9554475,-84.0865706,Sumter County
279,"Lexington city, Georgia",Lexington,city,GA,Georgia,33.8698404,-83.111817,Oglethorpe County
280,"Lilburn city, Georgia",Lilburn,city,GA,Georgia,33.8901036,-84.14297189999999,Gwinnett County
281,"Lilly city, Georgia",Lilly,city,GA,Georgia,32.1471098,-83.8773999,Dooly County
282,"Lincolnton city, Georgia",Lincolnton,city,GA,Georgia,33.7923477,-82.479018,Lincoln County
283,"Lithonia city, Georgia",Lithonia,city,GA,Georgia,33.7123305,-84.1051939,DeKalb County
284,"Locust Grove city, Georgia",Locust Grove,city,GA,Georgia,33.3459495,-84.109083,Henry County
285,"Loganville city, Georgia",Loganville,city,GA,Georgia,33.8389977,-83.90073819999999,Walton County
286,"Lone Oak town, Georgia",Lone Oak,town,GA,Georgia,33.1717883,-84.8160446,Meriwether County
287,"Lookout Mountain city, Georgia",Lookout Mountain,city,GA,Georgia,34.9775757,-85.35773630000001,Walker County
288,"Louisville city, Georgia",Louisville,city,GA,Georgia,33.0015407,-82.4112377,Jefferson County
289,"Lovejoy city, Georgia",Lovejoy,city,GA,Georgia,33.4362245,-84.3143675,Clayton County
290,"Ludowici city, Georgia",Ludowici,city,GA,Georgia,31.7079919,-81.7423357,Long County
291,"Lula city, Georgia",Lula,city,GA,Georgia,34.3876013,-83.66628539999999,Hall County
292,"Lumber City city, Georgia",Lumber City,city,GA,Georgia,31.9293488,-82.6795831,Telfair County
293,"Lumpkin city, Georgia",Lumpkin,city,GA,Georgia,32.0509895,-84.7990901,Stewart County
294,"Luthersville city, Georgia",Luthersville,city,GA,Georgia,33.2101205,-84.7443765,Meriwether County
295,"Lyerly town, Georgia",Lyerly,town,GA,Georgia,34.4039775,-85.40329109999999,Chattooga County
296,"Lyons city, Georgia",Lyons,city,GA,Georgia,32.2043546,-82.32179099999999,Toombs County
