city_state,name,m_type,state_abrev,state_full
"Ivey city, Georgia",Ivey,city,GA,Georgia
"Jackson city, Georgia",Jackson,city,GA,Georgia
"Jacksonville city, Georgia",Jacksonville,city,GA,Georgia
"Jakin city, Georgia",Jakin,city,GA,Georgia
"Jasper city, Georgia",Jasper,city,GA,Georgia
"Jefferson city, Georgia",Jefferson,city,GA,Georgia
"Jeffersonville city, Georgia",Jeffersonville,city,GA,Georgia
"Jenkinsburg city, Georgia",Jenkinsburg,city,GA,Georgia
"Jersey city, Georgia",Jersey,city,GA,Georgia
"Jesup city, Georgia",Jesup,city,GA,Georgia
"Johns Creek city, Georgia",Johns Creek,city,GA,Georgia
"Jonesboro city, Georgia",Jonesboro,city,GA,Georgia
"Junction City town, Georgia",Junction City,town,GA,Georgia
"Kennesaw city, Georgia",Kennesaw,city,GA,Georgia
"Keysville city, Georgia",Keysville,city,GA,Georgia
"Kingsland city, Georgia",Kingsland,city,GA,Georgia
"Kingston city, Georgia",Kingston,city,GA,Georgia
"Kite city, Georgia",Kite,city,GA,Georgia
"LaFayette city, Georgia",LaFayette,city,GA,Georgia
"LaGrange city, Georgia",LaGrange,city,GA,Georgia
"Lake City city, Georgia",Lake City,city,GA,Georgia
"Lakeland city, Georgia",Lakeland,city,GA,Georgia
"Lake Park city, Georgia",Lake Park,city,GA,Georgia
"Lavonia city, Georgia",Lavonia,city,GA,Georgia
"Lawrenceville city, Georgia",Lawrenceville,city,GA,Georgia
"Leary city, Georgia",Leary,city,GA,Georgia
"Leesburg city, Georgia",Leesburg,city,GA,Georgia
"Lenox town, Georgia",Lenox,town,GA,Georgia
"Leslie city, Georgia",Leslie,city,GA,Georgia
"Lexington city, Georgia",Lexington,city,GA,Georgia
"Lilburn city, Georgia",Lilburn,city,GA,Georgia
"Lilly city, Georgia",Lilly,city,GA,Georgia
"Lincolnton city, Georgia",Lincolnton,city,GA,Georgia
"Lithonia city, Georgia",Lithonia,city,GA,Georgia
"Locust Grove city, Georgia",Locust Grove,city,GA,Georgia
"Loganville city, Georgia",Loganville,city,GA,Georgia
"Lone Oak town, Georgia",Lone Oak,town,GA,Georgia
"Lookout Mountain city, Georgia",Lookout Mountain,city,GA,Georgia
"Louisville city, Georgia",Louisville,city,GA,Georgia
"Lovejoy city, Georgia",Lovejoy,city,GA,Georgia
"Ludowici city, Georgia",Ludowici,city,GA,Georgia
"Lula city, Georgia",Lula,city,GA,Georgia
"Lumber City city, Georgia",Lumber City,city,GA,Georgia
"Lumpkin city, Georgia",Lumpkin,city,GA,Georgia
"Luthersville city, Georgia",Luthersville,city,GA,Georgia
"Lyerly town, Georgia",Lyerly,town,GA,Georgia
"Lyons city, Georgia",Lyons,city,GA,Georgia
"McCaysville city, Georgia",McCaysville,city,GA,Georgia
"McDonough city, Georgia",McDonough,city,GA,Georgia
"McIntyre town, Georgia",McIntyre,town,GA,Georgia
"Macon-Bibb County, Georgia",Macon-Bibb County,county,GA,Georgia
"McRae-Helena city, Georgia",McRae-Helena,city,GA,Georgia
"Madison city, Georgia",Madison,city,GA,Georgia
"Manassas city, Georgia",Manassas,city,GA,Georgia
"Manchester city, Georgia",Manchester,city,GA,Georgia
"Mansfield city, Georgia",Mansfield,city,GA,Georgia
"Marietta city, Georgia",Marietta,city,GA,Georgia
"Marshallville city, Georgia",Marshallville,city,GA,Georgia
"Martin town, Georgia",Martin,town,GA,Georgia
"Maxeys town, Georgia",Maxeys,town,GA,Georgia
"Maysville town, Georgia",Maysville,town,GA,Georgia
"Meansville city, Georgia",Meansville,city,GA,Georgia
"Meigs city, Georgia",Meigs,city,GA,Georgia
"Menlo city, Georgia",Menlo,city,GA,Georgia
"Metter city, Georgia",Metter,city,GA,Georgia
"Midville city, Georgia",Midville,city,GA,Georgia
"Midway city, Georgia",Midway,city,GA,Georgia
"Milan city, Georgia",Milan,city,GA,Georgia
"Milledgeville city, Georgia",Milledgeville,city,GA,Georgia
"Millen city, Georgia",Millen,city,GA,Georgia
"Milner city, Georgia",Milner,city,GA,Georgia
"Milton city, Georgia",Milton,city,GA,Georgia
"Mitchell town, Georgia",Mitchell,town,GA,Georgia
"Molena city, Georgia",Molena,city,GA,Georgia
"Monroe city, Georgia",Monroe,city,GA,Georgia
"Montezuma city, Georgia",Montezuma,city,GA,Georgia
"Monticello city, Georgia",Monticello,city,GA,Georgia
"Montrose town, Georgia",Montrose,town,GA,Georgia
"Moreland town, Georgia",Moreland,town,GA,Georgia
"Morgan city, Georgia",Morgan,city,GA,Georgia
"Morganton city, Georgia",Morganton,city,GA,Georgia
"Morrow city, Georgia",Morrow,city,GA,Georgia
"Morven city, Georgia",Morven,city,GA,Georgia
"Moultrie city, Georgia",Moultrie,city,GA,Georgia
"Mountain City town, Georgia",Mountain City,town,GA,Georgia
"Mountain Park city, Georgia",Mountain Park,city,GA,Georgia
"Mount Airy town, Georgia",Mount Airy,town,GA,Georgia
"Mount Vernon city, Georgia",Mount Venon,city,GA,Georgia
"Mount Zion city, Georgia",Mount Zion,city,GA,Georgia
"Nahunta city, Georgia",Nahunta,city,GA,Georgia
"Nashville city, Georgia",Nashville,city,GA,Georgia
"Nelson city, Georgia",Nelson,city,GA,Georgia
"Newborn town, Georgia",Newborn,town,GA,Georgia
"Newington town, Georgia",Newington,town,GA,Georgia
"Newnan city, Georgia",Newnan,city,GA,Georgia
"Newton city, Georgia",Newton,city,GA,Georgia
"Nicholls city, Georgia",Nicholls,city,GA,Georgia
"Nicholson city, Georgia",Nicholson,city,GA,Georgia
"Norcross city, Georgia",Norcross,city,GA,Georgia
"Norman Park city, Georgia",Norman Park,city,GA,Georgia
"North High Shoals town, Georgia",North High Shoals,town,GA,Georgia
"Norwood city, Georgia",Norwood,city,GA,Georgia
"Nunez city, Georgia",Nunez,city,GA,Georgia
"Oak Park town, Georgia",Oak Park,town,GA,Georgia
"Oakwood city, Georgia",Oakwood,city,GA,Georgia
"Ochlocknee town, Georgia",Ochlocknee,town,GA,Georgia
"Ocilla city, Georgia",Ocilla,city,GA,Georgia
"Oconee city, Georgia",Oconee,city,GA,Georgia
"Odum city, Georgia",Odum,city,GA,Georgia
"Offerman city, Georgia",Offerman,city,GA,Georgia
"Oglethorpe city, Georgia",Oglethorpe,city,GA,Georgia
"Oliver city, Georgia",Oliver,city,GA,Georgia
"Omega city, Georgia",Omega,city,GA,Georgia
"Orchard Hill town, Georgia",Orchard Hill,town,GA,Georgia
"Oxford city, Georgia",Oxford,city,GA,Georgia
"Palmetto city, Georgia",Palmetto,city,GA,Georgia
"Parrott town, Georgia",Parrott,town,GA,Georgia
"Patterson city, Georgia",Patterson,city,GA,Georgia
"Pavo city, Georgia",Pavo,city,GA,Georgia
"Peachtree City city, Georgia",Peachtree City,city,GA,Georgia
"Peachtree Corners city, Georgia",Peachtree Corners,city,GA,Georgia
"Pearson city, Georgia",Pearson,city,GA,Georgia
"Pelham city, Georgia",Pelham,city,GA,Georgia
"Pembroke city, Georgia",Pembroke,city,GA,Georgia
"Pendergrass town, Georgia",Pendergrass,town,GA,Georgia
"Perry city, Georgia",Perry,city,GA,Georgia
"Pinehurst city, Georgia",Pinehurst,city,GA,Georgia
"Pine Lake city, Georgia",Pine Lake,city,GA,Georgia
"Pine Mountain town, Georgia",Pine Mountain,town,GA,Georgia
"Pineview town, Georgia",Pineview,town,GA,Georgia
"Pitts city, Georgia",Pitts,city,GA,Georgia
"Plains city, Georgia",Plains,city,GA,Georgia
"Plainville city, Georgia",Plainville,city,GA,Georgia
"Pooler city, Georgia",Pooler,city,GA,Georgia
"Portal town, Georgia",Portal,town,GA,Georgia
"Porterdale city, Georgia",Porterdale,city,GA,Georgia
"Port Wentworth city, Georgia",Port Wentworth,city,GA,Georgia
"Poulan city, Georgia",Poulan,city,GA,Georgia
"Powder Springs city, Georgia",Powder Springs,city,GA,Georgia
"Pulaski town, Georgia",Pulaski,town,GA,Georgia
"Quitman city, Georgia",Quitman,city,GA,Georgia
"Ranger town, Georgia",Ranger,town,GA,Georgia
"Ray City city, Georgia",Ray City,city,GA,Georgia
"Rayle town, Georgia",Rayle,town,GA,Georgia
"Rebecca town, Georgia",Rebecca,town,GA,Georgia
"Register town, Georgia",Register,town,GA,Georgia
"Reidsville city, Georgia",Reidsville,city,GA,Georgia
"Remerton city, Georgia",Remerton,city,GA,Georgia
